Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),anel,Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Face mista
1155,12517.5682,8049,2.235833333,4500,1.25,85.58544766,19.27966815,2.677536748,18019.10323,7.63955902,2.518211581,12916.94503,178.9537661,10.21651448,133.1657951,1155,110.544,89.539,-21.005,92.838,-17.706,1.518679287,1.380991091,1.590340757,1.873253898,1.858342984,1.653233853,1.450271715,4605.141,4Ag2,4Ag2,4Ag2,nao
1156,12519.0682,7660,2.127777778,4327,1.201944444,79.0533912,20.92448148,2.795421296,17453.60785,8.289046296,2.521407407,12878.18314,179.805125,9.957550926,130.9441759,1156,115.063,99.938,-15.125,91.381,-23.682,1.528421296,1.39230787,1.597615741,1.907511574,1.886997685,1.666206019,1.457460648,4508.179,4Ag2,4Ag2,4Ag2,nao
1157,12520.5682,35539,9.871944444,3535,0.981944444,63.22173938,24.89898584,2.464739377,16472.37546,9.703331445,2.559413598,11640.57253,150.6762323,9.948575071,107.9196317,1157,113.44,108.545,-4.895,102.445,-10.995,1.526688385,1.381325779,1.608745042,1.89715864,1.905093484,1.682560907,1.43413881,4921.494,4Ag2,4Ag2,4Ag2,nao
1158,12522.0682,5849,1.624722222,4111,1.141944444,80.88055366,21.69103659,2.931297561,16987.84494,8.663836585,2.497643902,12366.1999,178.7752854,10.7528561,142.3269927,1158,112.037,96.56,-15.477,93.311,-18.726,1.461368293,1.302456098,1.559373171,1.927380488,1.870307317,1.628436585,1.355243902,4431.837,4Ag2,4Ag2,4Ag2,nao
1159,12523.5682,7340,2.038888889,4283,1.189722222,93.40458178,20.87981308,2.891507009,16907.53518,8.434738318,2.475165888,12462.78105,157.4333248,9.941880841,132.8779509,1159,112.267,97.201,-15.066,100.401,-11.866,1.496864486,1.330457944,1.58913785,1.935668224,1.911707944,1.674415888,1.393492991,4441.961,4Ag2,4Ag2,4Ag2,nao
1160,12525.0682,13813,3.836944444,4772,1.325555556,93.40396646,18.49445073,2.982092243,17371.52422,7.711561845,2.391006289,12462.73627,153.683499,9.296731656,152.9770881,1160,113.401,98.184,-15.217,96.125,-17.276,1.486056604,1.318132075,1.599412998,1.924943396,1.894731656,1.646756813,1.379899371,4499.742,4Ag2,4Ag2,4Ag2,nao
1161,12526.5682,7590,2.108333333,4329,1.2025,78.83842361,20.73786806,2.764810185,17351.13797,8.284726852,2.500712963,12589.81421,179.9396065,9.357023148,126.5086875,1161,113.198,96.733,-16.465,91.034,-22.164,1.554217593,1.403023148,1.640898148,1.958900463,1.926266204,1.709798611,1.463081019,4562.841,4Ag2,4Ag2,4Ag2,nao
1162,12528.0682,7416,2.06,4423,1.228611111,64.6385724,20.67827602,2.709493213,15395.77493,10.08490498,2.059334842,11185.70013,179.7318665,10.99373756,143.1540226,1162,116.229,100.642,-15.587,96.442,-19.787,1.277859729,1.147588235,1.362504525,1.643522624,1.640352941,1.409714932,1.191409502,4423.018,4Ag2,4Ag2,4Ag2,nao
1163,12529.5682,7439,2.066388889,4148,1.152222222,59.28006522,20.94997826,2.642888889,15419.68096,10.5207657,1.989922705,10864.51652,160.5767343,11.06782126,143.6739227,1163,110.339,91.903,-18.436,87.603,-22.736,1.261256039,1.12528744,1.352852657,1.656113527,1.630847826,1.40973913,1.157256039,4603.837,4Ag2,4Ag2,4Ag2,nao
1164,12531.0682,7541,2.094722222,3881,1.078055556,61.43329124,22.62115722,2.68503866,15097.41585,10.26479897,2.211373711,10848.2594,178.1303582,10.17104897,128.7666237,1164,111.39,97.774,-13.616,92.13,-19.26,1.239296392,1.103847938,1.328737113,1.600090206,1.596902062,1.383322165,1.141286082,4378.938,4Ag2,4Ag2,4Ag2,nao
1165,12532.5682,8840,2.455555556,4168,1.157777778,81.01435577,21.5428726,2.774504808,15753.70954,8.604560096,2.503949519,10858.46637,178.407238,11.16004087,142.6008005,1165,113.546,96.108,-17.438,93.108,-20.438,1.181353365,1.034891827,1.271173077,1.586560096,1.574516827,1.341521635,1.077507212,4346.932,4Ag2,4Ag2,4Ag2,nao
1166,12534.0682,11270,3.130555556,3781,1.050277778,68.87533156,23.13285676,2.696259947,15982.29633,9.354371353,2.47331565,10961.89324,188.1893369,8.983474801,112.2750875,1166,111.725,94.122,-17.603,92.822,-18.903,1.348564987,1.205984085,1.427469496,1.726623342,1.721596817,1.498023873,1.262649867,4404.042,4Ag2,4Ag2,4Ag2,nao
1167,12535.5682,7083,1.9675,3646,1.012777778,67.74784615,23.58340934,2.685197802,15412.04529,9.522436813,2.476879121,11001.28307,178.3661593,9.54182967,119.583228,1167,108.812,94.803,-14.009,86.604,-22.208,1.386296703,1.278491758,1.44753022,1.748612637,1.725607143,1.515769231,1.303456044,4655.388,4Ag2,4Ag2,4Ag2,nao
1168,12537.0682,7755,2.154166667,3787,1.051944444,68.13090476,24.13692063,2.727619048,15444.12252,9.696714286,2.489164021,10846.33198,161.5103651,8.986031746,112.5523651,1168,114.484,93.683,-20.801,79.635,-34.849,1.371293651,1.255978836,1.433518519,1.701801587,1.71465873,1.516505291,1.279179894,4367.901,4Ag2,4Ag2,4Ag2,nao
1169,12538.5682,12564,3.49,4272,1.186666667,123.3192014,20.6511733,2.680903981,16184.29047,8.601653396,2.400857143,11629.01403,173.8229204,11.67042623,137.2661991,1169,110.577,91.781,-18.796,90.131,-20.446,1.393428571,1.247283372,1.491344262,1.815791569,1.782796253,1.557971897,1.27717096,4383.328,4Ag2,4Ag2,4Ag2,nao
1170,12540.0682,13556,3.765555556,5886,1.635,94.49976491,14.64575298,2.71581431,15373.17422,7.243519591,2.021195911,11130.56659,145.743925,13.68374276,175.2021244,1170,113.956,94.815,-19.141,94.976,-18.98,1.26192845,1.112870528,1.365126065,1.705425894,1.669541738,1.433856899,1.1359046,4805.234,4Ag2,4Ag2,4Ag2,nao
1171,12541.5682,14005,3.890277778,5234,1.453888889,79.06477438,16.66488528,2.558713193,15371.87524,8.279390057,2.012952199,10854.85912,165.2008604,12.38054876,155.0565966,1171,110.232,88.276,-21.956,86.62,-23.612,1.268,1.137577438,1.333013384,1.63318738,1.607975143,1.416391969,1.184931166,4525.933,4Ag2,4Ag2,4Ag2,nao
1172,12543.0682,107794,29.94277778,5135,1.426388889,87.35275828,17.07889474,2.714670565,16843.38848,7.456557505,2.297596491,12004.81134,145.607807,12.07109747,142.4573626,1172,96.533,81.324,-15.209,86.824,-9.709,1.397651072,1.201764133,1.491875244,1.79454386,1.830263158,1.613534113,1.28362963,4365.51,4Ag2,4Ag2,4Ag2,nao
1173,12544.5682,17829,4.9525,5590,1.552777778,121.97019,15.52474194,3.029448029,16725.59881,6.573473118,2.396439068,12157.20525,179.6840771,10.84208781,175.1193746,1173,112.289,103.113,-9.176,93.613,-18.676,1.306702509,1.117086022,1.453732975,1.766283154,1.75015233,1.48028853,1.175553763,4368.44,4Ag2,4Ag2,4Ag2,nao
